date,type,num,quarter,year,month,weekday
2006-06-14,FELONY,536.0,2,2006,6,2
2006-06-14,VIOLATION,210.0,2,2006,6,2
2006-06-14,MISDEMEANOR,922.0,2,2006,6,2
2006-06-15,MISDEMEANOR,885.0,2,2006,6,3
2006-06-15,VIOLATION,212.0,2,2006,6,3
2006-06-15,FELONY,566.0,2,2006,6,3
2006-06-16,VIOLATION,220.0,2,2006,6,4
2006-06-16,MISDEMEANOR,891.0,2,2006,6,4
2006-06-16,FELONY,517.0,2,2006,6,4
2006-06-17,VIOLATION,202.0,2,2006,6,5
2006-06-17,FELONY,434.0,2,2006,6,5
2006-06-17,MISDEMEANOR,813.0,2,2006,6,5
2006-06-18,VIOLATION,231.0,2,2006,6,6
2006-06-18,FELONY,395.0,2,2006,6,6
2006-06-18,MISDEMEANOR,716.0,2,2006,6,6
2006-06-19,MISDEMEANOR,845.0,2,2006,6,0
